Product Name,CSV Row,Status,Document Name,UUID Files,Match Type,Confidence
Bedrock,62,Approved,276a96cc-7549-41bb-92ad-2d2ce00db634pce-bedrock.png,1,product_name_in_doc,high
ACCELQ,1234,Approved,ACCELQ Architecture-Autopilot.pdf,2,product_name_in_doc,high
AED Readiness Check,1264,Approved,AED Readiness Check Hub PMO1164-STR Conceptual.drawio.png,2,product_name_in_doc,high
AXIS intercom PA system,1191,Approved,AXIS intercom PA system.drawio,2,product_name_in_doc,high
ACCELQ,1234,Approved,AccelQ-Delta-Architecture-Diagram.pdf,4,product_name_in_doc,high
Aerobahn SMAN,1317,Approved,Aerobahn SMAN drawing.docx,2,product_name_in_doc,high
AlixPartners,1242,Cancelled,AlixPartners Arch Drawings.png,4,product_name_in_doc,high
AlphaSense,1388,Approved,AlphaSense Conceptual_1104_25.drawio,2,product_name_in_doc,high
AlphaSense,1388,Approved,AlphaSense Conceptual_1104_25.drawio.png,2,product_name_in_doc,high
AlphaSense,1388,Approved,AlphaSense Conceptual_118b.drawio,4,product_name_in_doc,high
Amazon Q,741,Approved,Amazon Q Usage Flow.jpg,1,product_name_in_doc,high
Box,827,Rejected,AmberBox Data Flow Diagram - CONFIDENTIAL.pdf,2,product_name_in_doc,high
Analytical AI,1092,Approved,Analytical AI Xray machine.docx,1,product_name_in_doc,high
Arena,1392,Approved,Arena doc.png,2,product_name_in_doc,high
Logi,176,Approved,Armis Logical Diagram.png,2,product_name_in_doc,high
Avinym,1200,Approved,Avinym_Trial_OCC.jpeg,2,product_name_in_doc,high
Logi,176,Approved,BRAND.ai Logical Architecture.png,2,product_name_in_doc,high
Bedrock,62,Approved,Bedrock-Design.png,2,product_name_in_doc,high
Calculum,1107,Approved,Calculum POC File Transfer-Conceptual.png,1,product_name_in_doc,high
Calculum,1107,Approved,Calculum POC drawing pdf.docx,1,product_name_in_doc,high
Canadian Disability Claims Administration,1219,Approved,Canadian Disability Claims Administration (by SunLife) 20250828-PMO1131-Conceptual for STR.drawio.png,2,product_name_in_doc,high
Canadian Disability Claims Administration,1219,Approved,Canadian Disability Claims Administration (by SunLife) 20250912-PMO1131-Conceptual for STR.drawio.png,8,product_name_in_doc,high
Canva,1453,Pending,Canva AI conceptual 1.png,2,product_name_in_doc,high
Canva,1453,Pending,Canva AI conceptual.png,4,product_name_in_doc,high
Logi,176,Approved,CenturyofFlightLogical.png,2,product_name_in_doc,high
Cisco AI Defense,1319,Approved,Cisco AI Defense STR Diagram.drawio.png,1,product_name_in_doc,high
Cisco AI Defense,1319,Approved,Cisco AI Defense STR Diagram_v2.png,2,product_name_in_doc,high
Logi,176,Approved,CobbleStone - Logical Data Diagram.pdf,2,product_name_in_doc,high
LivePerson AI,804,Approved,Conceptual Life at Work and LivePerson AI STR 2025-01-14.png,2,product_name_in_doc,high
COPADO,1169,Pending,Copado.png,4,product_name_in_doc,high
Cypress,1144,Approved,Cypress-Flow.png,2,product_name_in_doc,high
DLV KM AI,1148,Approved,DLV KM AI_STR_Diagrams.jpg,2,product_name_in_doc,high
DataSnipper,1316,Cancelled,DataSnipper_Conceptual.drawio,2,product_name_in_doc,high
Databricks,1138,Approved,Databricks-Architecture-Diagram-for-Pilot.png,2,product_name_in_doc,high
Databricks,1138,Approved,Databricks_PoC_Architecture_Diagram.pdf,2,product_name_in_doc,high
Datatable,1088,Approved,Datatable Design Diagram.docx,1,product_name_in_doc,high
AlphaSense,1388,Approved,Delta Air Lines AlphaSense IR Team User SigOn_1118.drawio,2,product_name_in_doc,high
AlphaSense,1388,Approved,Delta Air Lines AlphaSense_1118a.drawio,2,product_name_in_doc,high
Logi,176,Approved,Delta Locals-Logical Diagram L1.drawio.png,8,product_name_in_doc,high
Gitleaks,1344,Rejected,DeveloperHub-gitleaks-architecture-diagram.jpg,30,product_name_in_doc,high
Logi,176,Approved,Dinova Amex Feed Logical and Conceptual pdf.docx,1,product_name_in_doc,high
Logi,176,Approved,Dinova-Amex Feed-Logical.jpg,2,product_name_in_doc,high
Endeavor CCS Uniform Storefront,1077,Approved,Endeavor CCS Uniform Storefront-Deployment.drawio.png,1,product_name_in_doc,high
Figma,245,Approved,Figma-MCP-Server-SaaS.png,2,product_name_in_doc,high
Flashpoint,1370,Approved,FlashPoint Architeture.png,2,product_name_in_doc,high
Logi,176,Approved,FliteDeckPro - Logical Drawing.png,2,product_name_in_doc,high
GALE,1310,Approved,GALE-Deployment Architecture D1.drawio.png,4,product_name_in_doc,high
Logi,176,Approved,GALE-Logical Diagram L1.drawio.png,2,product_name_in_doc,high
Logi,176,Approved,GALE-Logical Diagram L1.png,2,product_name_in_doc,high
Bedrock,62,Approved,GHW_Bedrock_Use_Case_Architecture.png,2,product_name_in_doc,high
Greenshot,1141,Approved,Greenshot.png,2,product_name_in_doc,high
GuiXT,1304,Approved,GuiXT Conceptual.drawio 1.pdf,8,product_name_in_doc,high
GuiXT,1304,Approved,GuiXT Conceptual.drawio.pdf,2,product_name_in_doc,high
Position Assistant,1268,Approved,HR Skills First Position Assistant Diagram.docx,1,product_name_in_doc,high
Helm,1244,Approved,Helm_Diagram.png,2,product_name_in_doc,high
Humatrix Singapore PSP,1429,Pending,Humatrix Singapore PSP 20251124-Conceptual-STR.drawio.png,4,product_name_in_doc,high
RDI,26,Approved,IBM Guardium AI STR Diagram.jpg,2,product_name_in_doc,high
RDI,26,Approved,IBM Guardium AI STR Diagram_v2.jpg,2,product_name_in_doc,high
Logi,176,Approved,IBM SevOne Architecture - Logical v1.png,2,product_name_in_doc,high
